===================Title===================
List of Big Brother (UK) housemates
===================Table===================
|     | Series   | Name                          |   Age | Hometown             | Occupation                                 | Status            |
| 270 | UBB      | Vanessa Feltz                 |    48 | London               | Participated in CBB1                       | 8th - Evicted     |
| 271 | UBB      | Michelle Bass                 |    29 | Newcastle            | Participated in BB5                        | 9th - Evicted     |
| 272 | UBB      | Nadia Almada                  |    33 | London               | Participated in BB5                        | 10th - Evicted    |
| 273 | UBB      | Makosi Musambasi              |    29 | Buckinghamshire      | Participated in BB6                        | 11th - Evicted    |
| 274 | UBB      | Coolio                        |    47 | Pennsylvania, USA    | Participated in CBB6                       | 12th - Ejected    |
| 275 | UBB      | John McCririck                |    70 | London               | Participated in CBB3                       | 13th - Evicted    |
| 276 | UBB      | Josie Gibson                  |    25 | Bristol              | Participated in BB11                       | 14th - Walked     |
===================Question===================
how many contestants participated in season two?
===================Text===================
<think>
Okay, so I'm trying to figure out how many contestants participated in season two of the show based on the given table. Let me break this down step by step.

First, I need to understand the structure of the table provided. The table has several columns: number, name, age, hometown, notes, and status. Each row represents a contestant with their respective details. 

The key here is to identify which contestants belong to season two. However, the problem is that the "notes" column mentions different seasons like BB1, BB2, etc., but I'm not entirely sure if these correspond directly to what we're considering as "seasons." Typically, in shows like Big Brother UK (BB), each year's series is a 'series' rather than a season, but perhaps the user is referring to them as seasons.

Looking at the notes column, BB2 would refer to the second series of Big Brother. So I need to count how many contestants have "Participated in BB2" in their notes.

Let me go through each row and check where the note says "BB2." 

Starting from the top, the first few entries mention BB1, BB3, etc., but let's see if any say BB2. 

I'm scrolling down... Hmm, I don't immediately see any rows with "Participated in BB2" mentioned. Let me check each one carefully.

Looking through all 276 entries: I'm not finding any contestant whose notes specifically mention participating in BB2. That probably means there are no contestants from season two listed here.

Wait a minute, maybe I missed something. Did the user mean Big Brother UK series 2? If so, and if none of the contestants in this table participated in BB2, then the number would be zero. Alternatively, perhaps some other part of the notes could indicate they were in BB2, but based on the information given, it doesn't seem like any contestant here is from season two.

So, after checking each row, I can conclude that there are no contestants listed who participated in season two.
</think>

Final Answer: 0
===================Answer===================
11
