===================Title===================
List of XML and HTML character entity references
===================Table===================
|     | Name     | Character   | Unicode code point (decimal)   | Standard   | DTD         | Old ISO subset   | Description                                                             |
| 203 | hArr     | ⇔           | U+21D4 (8660)                  | HTML 4.0   | HTMLsymbol  | ISOamsa          | left right double arrow                                                 |
| 204 | forall   | ∀           | U+2200 (8704)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | for all                                                                 |
| 205 | part     | ∂           | U+2202 (8706)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | partial differential                                                    |
| 206 | exist    | ∃           | U+2203 (8707)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | there exists                                                            |
| 207 | empty    | ∅           | U+2205 (8709)                  | HTML 4.0   | HTMLsymbol  | ISOamso          | empty set (null set); see also U+8960, ⌀                                |
| 208 | nabla    | ∇           | U+2207 (8711)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | del or nabla (vector differential operator)                             |
| 209 | isin     | ∈           | U+2208 (8712)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | element of                                                              |
| 210 | notin    | ∉          | U+2209 (8713)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | not an element of                                                       |
| 211 | ni       | ∋           | U+220B (8715)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | contains as member                                                      |
| 212 | prod     | ∏           | U+220F (8719)                  | HTML 4.0   | HTMLsymbol  | ISOamsb          | n-ary product (product sign)                                            |
| 213 | sum      | ∑           | U+2211 (8721)                  | HTML 4.0   | HTMLsymbol  | ISOamsb          | n-ary summation                                                         |
| 214 | minus    | −           | U+2212 (8722)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | minus sign                                                              |
| 215 | lowast   | ∗           | U+2217 (8727)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | asterisk operator                                                       |
| 216 | radic    | √           | U+221A (8730)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | square root (radical sign)                                              |
| 217 | prop     | ∝           | U+221D (8733)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | proportional to                                                         |
| 218 | infin    | ∞           | U+221E (8734)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | infinity                                                                |
| 219 | ang      | ∠           | U+2220 (8736)                  | HTML 4.0   | HTMLsymbol  | ISOamso          | angle                                                                   |
| 220 | and      | ∧           | U+2227 (8743)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | logical and (wedge)                                                     |
| 221 | or       | ∨           | U+2228 (8744)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | logical or (vee)                                                        |
| 222 | cap      | ∩           | U+2229 (8745)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | intersection (cap)                                                      |
| 223 | cup      | ∪           | U+222A (8746)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | union (cup)                                                             |
| 224 | int      | ∫           | U+222B (8747)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | integral                                                                |
| 225 | there4   | ∴           | U+2234 (8756)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | therefore sign                                                          |
| 226 | sim      | ∼           | U+223C (8764)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | tilde operator (varies with, similar to)                                |
| 227 | cong     | ≅           | U+2245 (8773)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | congruent to                                                            |
| 228 | asymp    | ≈           | U+2248 (8776)                  | HTML 4.0   | HTMLsymbol  | ISOamsr          | almost equal to (asymptotic to)                                         |
| 229 | ne       | ≠          | U+2260 (8800)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | not equal to                                                            |
| 230 | equiv    | ≡           | U+2261 (8801)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | identical to; sometimes used for 'equivalent to'                        |
| 231 | le       | ≤           | U+2264 (8804)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | less-than or equal to                                                   |
| 232 | ge       | ≥           | U+2265 (8805)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | greater-than or equal to                                                |
| 233 | sub      | ⊂           | U+2282 (8834)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | subset of                                                               |
| 234 | sup      | ⊃           | U+2283 (8835)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | superset of                                                             |
| 235 | nsub     | ⊄          | U+2284 (8836)                  | HTML 4.0   | HTMLsymbol  | ISOamsn          | not a subset of                                                         |
| 236 | sube     | ⊆           | U+2286 (8838)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | subset of or equal to                                                   |
| 237 | supe     | ⊇           | U+2287 (8839)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | superset of or equal to                                                 |
| 238 | oplus    | ⊕           | U+2295 (8853)                  | HTML 4.0   | HTMLsymbol  | ISOamsb          | circled plus (direct sum)                                               |
| 239 | otimes   | ⊗           | U+2297 (8855)                  | HTML 4.0   | HTMLsymbol  | ISOamsb          | circled times (vector product)                                          |
| 240 | perp     | ⊥           | U+22A5 (8869)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | up tack (orthogonal to, perpendicular)                                  |
| 241 | sdot     | ⋅           | U+22C5 (8901)                  | HTML 4.0   | HTMLsymbol  | ISOamsb          | dot operator                                                            |
| 242 | vellip   | ⋮           | U+22EE (8942)                  | HTML 5.0   | ?           | ?                | vertical ellipsis                                                       |
| 243 | lceil    | ⌈           | U+2308 (8968)                  | HTML 4.0   | HTMLsymbol  | ISOamsc          | left ceiling (APL upstile)                                              |
| 244 | rceil    | ⌉           | U+2309 (8969)                  | HTML 4.0   | HTMLsymbol  | ISOamsc          | right ceiling                                                           |
| 245 | lfloor   | ⌊           | U+230A (8970)                  | HTML 4.0   | HTMLsymbol  | ISOamsc          | left floor (APL downstile)                                              |
| 246 | rfloor   | ⌋           | U+230B (8971)                  | HTML 4.0   | HTMLsymbol  | ISOamsc          | right floor                                                             |
| 247 | lang     | 〈           | U+2329 (9001)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | left-pointing angle bracket (bra)                                       |
| 248 | rang     | 〉           | U+232A (9002)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | right-pointing angle bracket (ket)                                      |
| 249 | loz      | ◊           | U+25CA (9674)                  | HTML 4.0   | HTMLsymbol  | ISOpub           | lozenge                                                                 |
| 250 | spades   | ♠           | U+2660 (9824)                  | HTML 4.0   | HTMLsymbol  | ISOpub           | black spade suit                                                        |
| 251 | clubs    | ♣           | U+2663 (9827)                  | HTML 4.0   | HTMLsymbol  | ISOpub           | black club suit (shamrock)                                              |
| 252 | hearts   | ♥           | U+2665 (9829)                  | HTML 4.0   | HTMLsymbol  | ISOpub           | black heart suit (valentine)                                            |
| 253 | diams    | ♦           | U+2666 (9830)                  | HTML 4.0   | HTMLsymbol  | ISOpub           | black diamond suit                                                      |
===================Question===================
what is the code for the less than sign?
===================Text===================
<think>
Okay, I need to find the code for the less than sign based on the provided table. Let me look through each entry carefully.

The table lists various symbols along with their codes and corresponding HTML entities. Each row has details like the symbol's name, Unicode code point, HTML version support, and category.

I'm looking specifically for the "<" sign, which is commonly known as the "less than" symbol. Let me go through each entry one by one to see if any match this description.

Starting from the top:

- The first few entries are mathematical symbols like ∀, ∃, ∅, etc., none of which are the less than sign.
- Further down, I spot symbols like ⊂, ⊃, etc., which are subset and superset symbols—still not what I'm looking for.
- There's a section with playing card suits: ♠, ♣, ♥, ♦. These are not relevant here.
- Looking through the mathematical operators, I see symbols like ⊕, ⊗, ⋅, etc., but none of these are "<".

Wait, maybe I missed something earlier. Let me scan again more carefully.

Hmm, I don't see any entry in this table that represents the less than sign "<". It's possible that the table provided doesn't include it, or perhaps it was overlooked. Alternatively, sometimes the less than symbol might be represented by a different entity name that I'm not recalling immediately.

Alternatively, maybe the less than sign is represented under a different entity name in this table. Let me check each row again to confirm.

After going through all 253 entries, I don't see any entry for the less-than sign "<". It's possible that it wasn't included in this specific table or perhaps is referred to by a different name elsewhere.
</think>

The code for the less than sign isn't present in the provided table. 

Final Answer:
===================Answer===================
U+003C (60)
