===================Title===================
List of periodic comets
===================Table===================
|     | Comet                                                        | Discoverer(s) or namesake(s)                                                                | Orbital period (years)   | Spacecraft encounter(s)                                                                                                                    |
| 238 | 239P/LINEAR                                                  | LINEAR                                                                                      | 9.43                     | nan                                                                                                                                        |
| 239 | 240P/NEAT                                                    | NEAT                                                                                        | 7.60                     | nan                                                                                                                                        |
| 240 | 241P/LINEAR                                                  | LINEAR                                                                                      | 10.79                    | nan                                                                                                                                        |
| 241 | 242P/Spahr                                                   | Spahr                                                                                       | 13.20                    | nan                                                                                                                                        |
| 242 | 243P/NEAT                                                    | NEAT                                                                                        | 7.52                     | nan                                                                                                                                        |
| 243 | 244P/Scotti                                                  | Scotti                                                                                      | 10.8                     | nan                                                                                                                                        |
| 244 | 245P/WISE                                                    | WISE                                                                                        | 8.03                     | nan                                                                                                                                        |
| 245 | 246P/NEAT                                                    | NEAT                                                                                        | 8.06                     | nan                                                                                                                                        |
| 246 | 247P/LINEAR                                                  | LINEAR                                                                                      | 7.98                     | nan                                                                                                                                        |
| 247 | 248P/Gibbs                                                   | Gibbs (Catalina Sky Survey)                                                                 | 14.63                    | nan                                                                                                                                        |
| 248 | 249P/LINEAR                                                  | LINEAR                                                                                      | 4.63                     | nan                                                                                                                                        |
| 249 | 250P/Larson                                                  | Larson (Catalina Sky Survey)                                                                | 7.20                     | nan                                                                                                                                        |
| 250 | 251P/LINEAR                                                  | LINEAR                                                                                      | 6.52                     | nan                                                                                                                                        |
| 251 | 252P/LINEAR                                                  | LINEAR                                                                                      | 5.32                     | nan                                                                                                                                        |
| 252 | 253P/PANSTARRS                                               | Pan-STARRS                                                                                  | 6.47                     | nan                                                                                                                                        |
| 253 | 254P/McNaught                                                | McNaught                                                                                    | 10.09                    | nan                                                                                                                                        |
| 254 | 255P/Levy                                                    | Levy                                                                                        | 5.29                     | nan                                                                                                                                        |
| 255 | 256P/LINEAR                                                  | LINEAR                                                                                      | 9.96                     | nan                                                                                                                                        |
| 256 | 257P/Catalina                                                | Catalina Sky Survey                                                                         | 7.27                     | nan                                                                                                                                        |
| 257 | 258P/PANSTARRS                                               | Pan-STARRS                                                                                  | 9.22                     | nan                                                                                                                                        |
| 258 | 259P/Garradd                                                 | Garradd                                                                                     | 4.50                     | nan                                                                                                                                        |
| 259 | 260P/McNaught                                                | McNaught                                                                                    | 7.07                     | nan                                                                                                                                        |
| 260 | 261P/Larson                                                  | Larson (Mount Lemmon Survey)                                                                | 6.80                     | nan                                                                                                                                        |
| 261 | 262P/McNaught–Russell                                        | McNaught & Russell                                                                          | 18.3                     | nan                                                                                                                                        |
| 262 | 263P/Gibbs                                                   | Gibbs (Catalina Sky Survey)                                                                 | 5.36                     | nan                                                                                                                                        |
| 263 | 264P/Larsen                                                  | Larsen                                                                                      | 7.68                     | nan                                                                                                                                        |
| 264 | 265P/LINEAR                                                  | LINEAR                                                                                      | 8.77                     | nan                                                                                                                                        |
| 265 | 266P/Christensen                                             | Christensen                                                                                 | 6.63                     | nan                                                                                                                                        |
| 266 | 267P/LONEOS                                                  | LONEOS                                                                                      | 5.96                     | nan                                                                                                                                        |
| 267 | 268P/Bernardi                                                | Bernardi                                                                                    | 9.76                     | nan                                                                                                                                        |
| 268 | 269P/Jedicke                                                 | V. Jedicke & R. Jedicke                                                                     | 19.55                    | nan                                                                                                                                        |
| 269 | 270P/Gehrels                                                 | Gehrels                                                                                     | 17.82                    | nan                                                                                                                                        |
| 270 | 271P/van Houten–Lemmon                                       | C. van Houten & I. van Houten-Groeneveld & Mount Lemmon Survey                              | 18.42                    | nan                                                                                                                                        |
| 271 | 272P/NEAT                                                    | NEAT                                                                                        | 9.36                     | nan                                                                                                                                        |
| 272 | 273P/Pons–Gambart                                            | Pons & Gambart                                                                              | 188                      | nan                                                                                                                                        |
| 273 | 274P/Tombaugh–Tenagra                                        | Tombaugh & Tenagra II Observatory                                                           | 9.12                     | nan                                                                                                                                        |
| 274 | 275P/Hermann                                                 | Hermann                                                                                     | 13.79                    | nan                                                                                                                                        |
| 275 | 276P/Vorobjov                                                | Vorobjov                                                                                    | 12.5                     | nan                                                                                                                                        |
| 276 | 277P/LINEAR                                                  | LINEAR                                                                                      | 7.59                     | nan                                                                                                                                        |
| 277 | 278P/McNaught                                                | McNaught                                                                                    | 7.12                     | nan                                                                                                                                        |
| 278 | 279P/La Sagra                                                | La Sagra Sky Survey                                                                         | 6.78                     | nan                                                                                                                                        |
| 279 | 280P/Larsen                                                  | Larsen                                                                                      | 9.63                     | nan                                                                                                                                        |
| 280 | 281P/MOSS                                                    | Morocco Oukaimeden Sky Survey (MOSS)                                                        | 10.69                    | nan                                                                                                                                        |
| 281 | 282P                                                         | nan                                                                                         | 8.76                     | nan                                                                                                                                        |
| 282 | 283P/Spacewatch                                              | Spacewatch                                                                                  | 8.40                     | nan                                                                                                                                        |
| 283 | 284P/McNaught                                                | McNaught                                                                                    | 7.04                     | nan                                                                                                                                        |
| 284 | 285P/LINEAR                                                  | LINEAR                                                                                      | 9.52                     | nan                                                                                                                                        |
| 285 | 286P/Christensen                                             | Christensen                                                                                 | 8.37                     | nan                                                                                                                                        |
| 286 | 287P/Christensen                                             | Christensen                                                                                 | 8.54                     | nan                                                                                                                                        |
| 287 | 288P/Spacewatch = minor planet (300163) 2006 VW139           | Spacewatch                                                                                  | 5.32                     | nan                                                                                                                                        |
| 288 | 289P/Blanpain                                                | Blanpain                                                                                    | 5.33                     | nan                                                                                                                                        |
| 289 | 290P/Jäger                                                  | Jäger                                                                                      | 15.2                     | nan                                                                                                                                        |
| 290 | 291P/NEAT                                                    | NEAT                                                                                        | 9.71                     | nan                                                                                                                                        |
| 291 | 292P/Li                                                      | Li                                                                                          | 15.1                     | nan                                                                                                                                        |
| 292 | 293P/Spacewatch                                              | Spacewatch                                                                                  | 6.94                     | nan                                                                                                                                        |
| 293 | 294P/LINEAR                                                  | LINEAR                                                                                      | 5.74                     | nan                                                                                                                                        |
| 294 | 295P/LINEAR                                                  | LINEAR                                                                                      | 12.3                     | nan                                                                                                                                        |
| 295 | 296P/Garradd                                                 | Garradd                                                                                     | 6.55                     | nan                                                                                                                                        |
| 296 | 297P/Beshore                                                 | Beshore (Mount Lemmon Survey)                                                               | 6.39                     | nan                                                                                                                                        |
===================Question===================
which comet has the longest orbital period?
===================Text===================
Final Answer: 153P/Ikeya–Zhang
===================Answer===================
153P/Ikeya-Zhang
